provincia_id,provincia_nombre,localidad_nombre,juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
22,Chaco,Resistencia,Resistencia - 1,1256/19,NULIDAD,2019-02-18,2019-05-24,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 1,5632/19,ACCIÓN DE REIVINDICACIÓN,2019-05-10,2019-05-10,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 1,10778/19,JUICIO SUMARÍSIMO,2019-08-23,2019-08-26,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,52/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-01,2019-02-01,2019-08-08,no concilió,2019-08-08,2019-11-07,,,,,
22,Chaco,Resistencia,Resistencia - 2,499/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-05,2019-02-05,2019-08-08,no concilió,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,730/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-07,2019-02-07,2019-07-30,no concilió,2019-07-30,,,,,,
22,Chaco,Resistencia,Resistencia - 2,750/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-07,2019-02-07,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,1125/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-13,2019-02-13,2019-08-13,no concilió,2019-08-13,2019-11-14,,,,,
22,Chaco,Resistencia,Resistencia - 2,1278/19,DAÑOS Y PERJUICIOS,2019-02-18,2019-02-18,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,1358/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-20,2019-02-20,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,1436/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-21,2019-02-21,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,1473/19,JUICIO SUMARÍSIMO,2019-02-22,2019-02-22,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,1534/19,JUICIO SUMARÍSIMO,2019-02-25,2019-02-25,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,1574/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-26,2019-02-26,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,1699/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-01,2019-03-01,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,1943/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-06,2019-03-06,2019-08-13,no concilió,2019-09-19,2019-12-12,,,,,
22,Chaco,Resistencia,Resistencia - 2,2156/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-11,2019-03-11,2019-08-20,no concilió,2019-08-20,2019-11-21,,,,,
22,Chaco,Resistencia,Resistencia - 2,2329/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-13,2019-03-13,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,2510/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-15,2019-03-15,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,2547/19,COBRO SUMARIO DE PESOS,2019-03-18,2019-03-18,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,2593/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-19,2019-03-19,2019-08-22,no concilió,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,2788/19,PRESCRIPCIÓN: ADQUISITIVA / LIBERATORIA / USUCAPIÓN,2019-03-21,2019-03-21,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,2790/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-21,2019-03-21,2019-08-22,no concilió,2019-08-22,2019-11-28,,,,,
22,Chaco,Resistencia,Resistencia - 2,2892/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-22,2019-03-22,2019-09-10,no concilió,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,3277/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-29,2019-03-29,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,3408/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-01,2019-04-01,2019-08-13,no concilió,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,3850/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-08,2019-04-08,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,3995/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-10,2019-04-10,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,4052/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-11,2019-04-11,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,4238/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-15,2019-04-15,2019-08-15,no concilió,,,,,2019-09-25,HOMOLOGACIÓN,
22,Chaco,Resistencia,Resistencia - 2,4344/19,PRESCRIPCIÓN: ADQUISITIVA / LIBERATORIA / USUCAPIÓN,2019-04-17,2019-04-17,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,4387/19,DESALOJO,2019-04-17,2019-04-22,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,4407/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-17,2019-04-17,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,4528/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-23,2019-04-23,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,4842/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-29,2019-04-29,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,4911/19,ACCIÓN AUTÓNOMA DE NULIDAD,2019-04-29,2019-04-29,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,4956/19,ACCIÓN DE NULIDAD,2019-05-02,2019-05-02,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,5035/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-02,2019-05-02,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,5256/19,DAÑOS Y PERJUICIOS,2019-05-06,2019-05-06,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,5310/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-07,2019-05-07,2019-09-24,no concilió,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,5446/19,"CUMPLIMIENTO / INCUMPLIMIENTO - DE CONTRATO, DE CONVENIO, etc.",2019-05-08,2019-05-08,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,5484/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-09,2019-05-09,2019-10-15,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,5725/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-14,2019-05-14,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,5785/19,DESALOJO,2019-05-15,2019-05-15,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,5799/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-15,2019-05-15,2019-09-10,no celebrada,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,5873/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-16,2019-05-16,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,5913/19,PRESCRIPCIÓN: ADQUISITIVA / LIBERATORIA / USUCAPIÓN,2019-05-16,2019-05-16,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,5983/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-17,2019-05-17,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6040/19,PRESCRIPCIÓN: ADQUISITIVA / LIBERATORIA / USUCAPIÓN,2019-05-20,2019-05-20,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6254/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-23,2019-05-23,2019-09-10,no concilió,2019-09-10,2019-12-05,,,,,
22,Chaco,Resistencia,Resistencia - 2,6462/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-28,2019-05-28,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6668/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-30,2019-05-30,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6771/19,DAÑOS Y PERJUICIOS,2019-05-31,2019-05-31,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6783/19,JUICIO SUMARÍSIMO,2019-05-31,2019-05-31,2019-10-08,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6965/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-05,2019-06-05,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7024/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-06,2019-06-06,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7136/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-07,2019-06-07,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7195/19,EXPROPIACIÓN,2019-06-10,2019-06-10,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7252/19,INTERDICTOS,2019-06-11,2019-06-11,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7256/19,DESALOJO,2019-06-11,2019-06-11,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7300/19,DESALOJO,2019-06-12,2019-06-12,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7347/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-13,2019-06-13,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7497/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-14,2019-06-14,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7724/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-21,2019-06-21,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7867/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-25,2019-06-25,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7926/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-27,2019-06-27,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8663/19,PRESCRIPCIÓN: ADQUISITIVA / LIBERATORIA / USUCAPIÓN,2019-07-12,2019-07-12,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9131/19,DAÑOS Y PERJUICIOS,2019-07-31,2019-07-31,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8901/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-07-29,2019-07-29,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9171/19,COBRO SUMARIO DE PESOS,2019-07-31,2019-07-31,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8986/19,DAÑOS Y PERJUICIOS,2019-07-30,2019-07-30,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9269/19,COBRO SUMARIO DE PESOS,2019-08-01,2019-08-01,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8343/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-07-04,2019-07-04,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8167/19,JUICIO SUMARÍSIMO,2019-07-01,2019-07-01,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8495/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-07-10,2019-07-10,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8228/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-07-03,2019-07-03,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7482/19,JUICIO SUMARIO,2019-07-31,2019-07-31,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8569/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-07-11,2019-07-11,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8503/19,PRESCRIPCIÓN: ADQUISITIVA / LIBERATORIA / USUCAPIÓN,2019-07-10,2019-07-10,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7715/19,REPETICIÓN DE PAGO,2019-06-21,2019-08-01,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9370/19,JUICIO SUMARÍSIMO,2019-08-01,2019-08-01,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9403/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-08-01,2019-08-01,,,,,,,,,
