provincia_id,provincia_nombre,localidad_nombre,juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
86,Santiago del Estero,AÑATUYA,AC1,7088,REIVINDICACION,1988-08-25,1988-08-25,2019-03-14,Audiencia Preliminar NO CONCILIADA,,,,,,,
86,Santiago del Estero,AÑATUYA,AC1,16687,PRESCRIPCION ADQUSIITIVA,2017-12-10,2017-12-10,2019-02-14,Audiencia Preliminar NO CONCILIADA,,2019-04-24,Audiencia Vista Causa NO CONCILIADA,,,,
86,Santiago del Estero,AÑATUYA,AC1,23399,PRESCRIPCION,2018-09-09,2018-09-09,2018-10-10,,,,,,,,
86,Santiago del Estero,AÑATUYA,AC1,25871,INTERDICTO DE RETENER LA POSESION,2011-02-14,2011-02-14,2019-03-27,Audiencia Preliminar NO CONCILIADA,,,,,,,
86,Santiago del Estero,AÑATUYA,AC1,27073, PRESCRIPCION ADQUISITIVA,2012-07-31,2012-07-31,2019-08-29,Audiencia Preliminar NO CONCILIADA,,2020-02-04,,,,,
86,Santiago del Estero,AÑATUYA,AC1,27193,REIVINDICACION,2012-09-12,2012-09-12,2019-02-12,Audiencia Preliminar NO CONCILIADA,,,,,,,
86,Santiago del Estero,AÑATUYA,AC1,28110,PRESCRIPCION ADQUISITIVA,2018-07-12,2018-07-12,2019-08-21,Audiencia Preliminar NO CELEBRADA,,,,,,,
86,Santiago del Estero,AÑATUYA,AC1,28352,INTERDICTO,2013-12-27,2013-12-27,2019-10-09,,,,,,,,
86,Santiago del Estero,AÑATUYA,AC1,29714,PRESCRIPCION ADQUISITIVA VEINTEAÑAL,2015-06-17,2015-06-17,2019-03-28,Audiencia Preliminar NO CONCILIADA,,2019-05-30,Audiencia Vista Causa NO CONCILIADA,,,,
86,Santiago del Estero,AÑATUYA,AC1,29921,DAÑOS Y PERJUICIOS,2015-08-28,2015-08-28,2019-03-29,Audiencia Preliminar NO CONCILIADA,,2019-06-04,Audiencia Vista Causa NO CONCILIADA,,,,
86,Santiago del Estero,AÑATUYA,AC1,30236,DESALOJO,2015-12-17,2015-12-17,2019-02-07,Audiencia Preliminar NO CONCILIADA,,,,,,,
86,Santiago del Estero,AÑATUYA,AC1,30255,INTERDICTO DE RETENER LA POSESION,2015-12-29,2015-12-29,2019-08-01,Audiencia Preliminar NO CONCILIADA,,,,2019-08-08,,,
