provincia_id,provincia_nombre,jurisdiccion_nombre,juzgado_numero,persona_tipo,audiencia_tipo,encuesta_pregunta,encuesta_respuesta,cantidad
14,Córdoba,Capital,Civ y Com 5,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,26
14,Córdoba,Capital,Civ y Com 6,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,31
14,Córdoba,Capital,Civ y Com 9,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,6
14,Córdoba,Capital,Civ y Com 10,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,0
14,Córdoba,Capital,Civ y Com 12,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,5
14,Córdoba,Capital,Civ y Com 15,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,65
14,Córdoba,Capital,Civ y Com 16,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,0
14,Córdoba,Capital,Civ y Com 17,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,28
14,Córdoba,Capital,Civ y Com 18,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,0
14,Córdoba,Capital,Civ y Com 20,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,0
14,Córdoba,Capital,Civ y Com 27,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,20
14,Córdoba,Capital,Civ y Com 28,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,0
14,Córdoba,Capital,Civ y Com 30,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,0
14,Córdoba,Capital,Civ y Com 31,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,13
14,Córdoba,Capital,Civ y Com 32,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,12
14,Córdoba,Capital,Civ y Com 34,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,20
14,Córdoba,Capital,Civ y Com 35,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,5
14,Córdoba,Capital,Civ y Com 36,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,11
14,Córdoba,Capital,Civ y Com 41,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,0
14,Córdoba,Capital,Civ y Com 48,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,7
14,Córdoba,Capital,Civ y Com 49,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,19
14,Córdoba,Capital,Civ y Com 51,usuario,Audiencia preliminar,¿Cómo lo trataron durante la audiencia?,Muy bien,25
