provincia_id,provincia_nombre,localidad_nombre,juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,6858000,ABREVIADO - DAÑOS Y PERJUCIOS - ACCIDENTES DE TRANSITO - TRAM ORAL,2017-12-12,2017-12-12,2019-04-24,No Concilio,,2019-08-22,No Concilio,,,,
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,7712307,ABREVIADO - DAÑOS Y PERJUCIOS - ACCIDENTES DE TRANSITO - TRAM ORAL,2018-10-31,2018-10-31,2019-04-23,No Concilio,,2019-07-25,No Concilio,,,,
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,7712691,ABREVIADO - DAÑOS Y PERJUCIOS - ACCIDENTES DE TRANSITO - TRAM ORAL,2018-10-31,2018-10-31,,,,,,,,,
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,8335885,ABREVIADO - DAÑOS Y PERJUCIOS - ACCIDENTES DE TRANSITO - TRAM ORAL,2019-05-23,2019-05-23,,,,,,,,,
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,8642161,ABREVIADO - DAÑOS Y PERJUCIOS - ACCIDENTES DE TRANSITO - TRAM ORAL,2019-08-13,2019-08-13,,,,,,,,,
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,8715504,ABREVIADO - DAÑOS Y PERJUCIOS - ACCIDENTES DE TRANSITO - TRAM ORAL,2019-09-13,2019-09-13,,,,,,,,,
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,7575124,ABREVIADO - DAÑOS Y PERJUCIOS - ACCIDENTES DE TRANSITO - TRAM ORAL,2018-10-03,2018-10-03,2019-03-15,No Concilio,,2019-05-24,Concilio en Audiencia,,2019-05-24,CONCILIACIÓN,
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,3447983,ABREVIADO - DAÑOS Y PERJUICIOS - OTRAS FORMAS DE RESPONSABILIDAD EXTRACONTRACTUAL - TRAM ORAL,2017-02-09,2017-02-09,2019-09-10,No Concilio,,2019-11-21,,,,,
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,7353482,ABREVIADO - DAÑOS Y PERJUICIOS - OTRAS FORMAS DE RESPONSABILIDAD EXTRACONTRACTUAL - TRAM ORAL,2018-07-04,2018-07-04,2019-09-23,No Concilio,,2019-11-26,,,,,
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,7367479,ORDINARIO - TRAM ORAL,2018-07-05,2018-07-05,2019-10-24,,,2019-12-20,,,,,
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,7511953,ABREVIADO - DAÑOS Y PERJUCIOS - ACCIDENTES DE TRANSITO - TRAM ORAL,2018-09-10,2018-09-10,,,,,,,,,
14,Córdoba,RIO CUARTO,J.1A INST.C.C.FAM.2A,8483428,ABREVIADO - DAÑOS Y PERJUCIOS - ACCIDENTES DE TRANSITO - TRAM ORAL,2019-07-03,2019-07-03,,,,,,,,,
