provincia_id,provincia_nombre,localidad_nombre,juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
70,San Juan,,CIVIL - 1°,170144,ORDINARIO,2019-04-26,2019-04-26,,,,,,,,,
70,San Juan,,CIVIL - 1°,171763,ORDINARIO,2019-09-12,2019-09-12,,,,,,,,,
70,San Juan,,CIVIL - 1°,170487,ORDINARIO,2019-05-23,2019-05-24,,,,,,,,,
70,San Juan,,CIVIL - 1°,170735,ORDINARIO,2019-06-12,2019-06-12,,,,,,,,,
70,San Juan,,CIVIL - 1°,170440,ORDINARIO,2019-05-21,2019-05-22,,,,,,,,,
70,San Juan,,CIVIL - 1°,170952,ORDINARIO,2019-07-02,2019-07-02,,,,,,,,,
70,San Juan,,CIVIL - 1°,171330,ORDINARIO,2019-08-08,2019-08-09,,,,,,,,,
70,San Juan,,CIVIL - 1°,171019,ORDINARIO,2019-07-05,2019-07-05,,,,,,,,,
70,San Juan,,CIVIL - 1°,169859,ORDINARIO,2019-03-29,2019-03-29,,,,,,,,,
70,San Juan,,CIVIL - 1°,171670,ORDINARIO,2019-09-04,2019-09-05,,,,,,,,,
70,San Juan,,CIVIL - 1°,170827,ORDINARIO,2019-06-21,2019-06-24,,,,,,,,,
70,San Juan,,CIVIL - 1°,171517,RESOLUCIÓN DE CONTRATO,2019-08-27,2019-08-27,,,,,,,,,
70,San Juan,,CIVIL - 1°,171131,ORDINARIO,2019-07-25,2019-07-26,,,,,,,,,
70,San Juan,,CIVIL - 1°,171170,ORDINARIO,2019-07-29,2019-07-29,,,,,,,,,
70,San Juan,,CIVIL - 1°,171100,CUMPLIMIENTO DE CONTRATO,2019-07-25,2019-07-26,,,,,,,,,
70,San Juan,,CIVIL - 1°,171177,PAGO POR CONSIGNACIÓN,2019-07-29,2019-07-30,,,,,,,,,
70,San Juan,,CIVIL - 1°,170238,ORDINARIO,2019-05-06,2019-05-06,2019-09-30,NO CONCILIÓ,2019-09-30,2020-02-10,,,,,
70,San Juan,,CIVIL - 1°,170292,COBRO DE PESOS,2019-05-08,2019-05-08,,,,,,,,,
70,San Juan,,CIVIL - 1°,170098,ORDINARIO,2019-04-22,2019-04-23,,,,,,,,,
70,San Juan,,CIVIL - 1°,169942,ORDINARIO,2019-04-08,2019-04-15,,,,,,,,,
70,San Juan,,CIVIL - 1°,169928,ORDINARIO,2019-04-08,2019-04-08,,,,,,,,,
70,San Juan,,CIVIL - 1°,169419,ACCIÓN AUTÓNOMA DE NULIDAD,2019-02-14,2019-05-14,,,,,,,,,
70,San Juan,,CIVIL - 1°,171418,ENRIQUECIMIENTO SIN CAUSA,2019-08-15,2019-08-16,,,,,,,,,
70,San Juan,,CIVIL - 1°,170118,NULIDAD DE ESCRITURA PUBLICA,2019-04-23,2019-04-24,,,,,,,,,
70,San Juan,,CIVIL - 1°,170669,ORDINARIO,2019-06-06,2019-06-06,,,,,,,,,
70,San Juan,,CIVIL - 1°,171534,ORDINARIO,2019-08-27,2019-08-28,,,,,,,,,
70,San Juan,,CIVIL - 1°,170757,ORDINARIO,2019-06-14,2019-06-18,,,,,,,,,
70,San Juan,,CIVIL - 1°,170259,ORDINARIO,2019-05-07,2019-05-07,,,,,,,,,
70,San Juan,,CIVIL - 1°,171227,ORDINARIO,2019-08-01,2019-08-01,,,,,,,,,
70,San Juan,,CIVIL - 1°,170465,ORDINARIO,2019-05-22,2019-07-04,,,,,,,,,
70,San Juan,,CIVIL - 1°,170902,ORDINARIO,2019-06-27,2019-07-01,,,,,,,,,
70,San Juan,,CIVIL - 1°,171793,ORDINARIO,2019-09-13,2019-09-16,,,,,,,,,
70,San Juan,,CIVIL - 1°,169814,ORDINARIO,2019-03-26,2019-03-26,,,,,,,,,
70,San Juan,,CIVIL - 1°,171205,ORDINARIO,2019-08-01,2019-08-01,,,,,,,,,
70,San Juan,,CIVIL - 1°,170575,CUMPLIMIENTO DE CONTRATO,2019-05-30,2019-05-31,,,,,,,,,
70,San Juan,,CIVIL - 1°,170807,ORDINARIO,2019-06-21,2019-06-21,,,,,,,,,
70,San Juan,,CIVIL - 1°,171933,ORDINARIO,2019-09-23,2019-09-24,,,,,,,,,
70,San Juan,,CIVIL - 1°,170312,ORDINARIO,2019-05-09,2019-05-10,,,,,,,2019-08-30,CONCILIACION,
70,San Juan,,CIVIL - 1°,170671,ORDINARIO,2019-06-06,2019-06-06,,,,,,,,,
70,San Juan,,CIVIL - 1°,169990,COBRO DE PESOS,2019-04-11,2019-04-23,,,,,,,,,
70,San Juan,,CIVIL - 1°,170607,ORDINARIO,2019-06-03,2019-06-03,,,,,,,,,
70,San Juan,,CIVIL - 3°,169714,ORDINARIO,2019-03-14,2019-03-15,2019-09-18,NO CONCILIÓ,2019-09-24,2019-12-23,,,,,
70,San Juan,,CIVIL - 3°,164325,ORDINARIO,2017-11-09,2017-11-21,2019-05-15,NO CONCILIÓ,2019-05-22,2019-09-02,NO CONCILIÓ,,,,
70,San Juan,,CIVIL - 3°,158820,ORDINARIO,2016-11-11,2017-10-02,2019-04-17,NO CONCILIÓ,2019-04-23,2019-08-05,NO CONCILIÓ,2019-09-26,,,
70,San Juan,,CIVIL - 3°,145775,ORDINARIO,2014-09-10,2014-09-16,2019-10-09,NO CONCILIÓ,,2020-03-02,,,,,
70,San Juan,,CIVIL - 3°,163650,ORDINARIO,2017-09-25,2017-10-12,2019-08-07,NO CONCILIÓ,2019-08-12,2019-11-11,,,,,
70,San Juan,,CIVIL - 3°,169323,ORDINARIO,2019-02-11,2019-02-11,2019-06-19,NO CONCILIÓ,2019-07-01,2019-10-07,NO CONCILIÓ,,,,
70,San Juan,,CIVIL - 3°,167825,ORDINARIO,2018-09-19,2018-09-19,2018-08-21,NO CONCILIÓ,2018-08-26,2018-12-09,,,,,
70,San Juan,,CIVIL - 3°,169177,ORDINARIO,2018-12-27,2018-12-28,2019-09-18,NO CONCILIÓ,2019-09-24,2019-12-23,,,,,
70,San Juan,,CIVIL - 3°,168004,ORDINARIO,2018-10-02,2018-10-02,2019-06-19,NO CONCILIÓ,2019-07-01,2019-10-07,CONCILIÓ,,2019-10-07,CONCILIACION,
70,San Juan,,CIVIL - 3°,165577,ORDINARIO,2018-03-21,2018-03-01,2019-09-25,NO CONCILIÓ,2019-09-30,2020-02-10,,,,,
