provincia_id,provincia_nombre,localidad_nombre,juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
90,Tucumán,Capital,Civil y Com 5,2058/10,PRESCRIPCION ADQUISITIVA,2017-11-01,2017-11-01,2019-06-13,No Conciliada,2019-06-13,2019-08-20,No Conciliada,,,,
90,Tucumán,Capital,Civil y Com 5,2871/17,DAÑOS Y PERJUICIOS,2018-03-15,2018-03-15,2019-08-16,No Conciliada,2019-08-16,2019-10-15,,,,,
90,Tucumán,Capital,Civil y Com 5,2709/16,COBROS  (ORDINARIO),2017-08-23,2017-08-23,2019-03-13,No Conciliada,2019-03-13,2019-05-07,No Conciliada,,,,
90,Tucumán,Capital,Civil y Com 6,4281/16,DAÑOS Y PERJUICIOS,2018-06-01,2018-06-01,2019-02-12,Conciliada,2018-12-11,,,,2019-02-12,HOMOLOGACION DE CONVENIO,
90,Tucumán,Capital,Civil y Com 3,3371/18,COBROS (SUMARIO),2019-02-13,2019-02-13,2019-05-23,No Conciliada,2019-05-10,2019-06-10,No Conciliada,,,,
90,Tucumán,Capital,Civil y Com 4,676/18,MEDIACION,2018-10-03,2018-10-03,2019-04-17,No Conciliada,2019-03-06,,,,,,
90,Tucumán,Capital,Civil y Com 3,2071/12,DIVISION DE CONDOMINIO,2017-11-10,2017-11-10,2019-09-18,No Conciliada,,,,,,,
90,Tucumán,Capital,Civil y Com 1,92/18,REIVINDICACION,2018-10-22,2018-10-22,2019-09-23,No Conciliada,2019-09-27,2019-12-12,,,,,
90,Tucumán,Capital,Civil y Com 1,4350/17,MEDIACION,2018-09-28,2018-09-28,2019-08-20,,2019-05-14,,,,,,
90,Tucumán,Capital,Civil y Com 1,1332/18,DAÑOS Y PERJUICIOS,2018-09-19,2018-09-19,2019-09-02,No Conciliada,2019-10-07,2019-12-19,,,,,
90,Tucumán,Capital,Civil y Com 3,888/18,COBROS (SUMARIO),2018-12-20,2018-12-20,2019-09-05,No Conciliada,2019-08-07,,,,,,
90,Tucumán,Capital,Civil y Com 6,1300/18,SUMARISIMO (RESIDUAL),2019-04-16,2019-04-16,2019-09-27,,,,,,,,
90,Tucumán,Capital,Civil y Com 5,1599/14,PRESCRIPCION ADQUISITIVA,2018-09-28,2018-09-28,2019-03-21,No Conciliada,2019-02-21,2019-05-21,No Conciliada,,,,
90,Tucumán,Capital,Civil y Com 3,1690/16,DAÑOS Y PERJUICIOS,2018-03-13,2018-03-13,2019-05-02,No Conciliada,2019-04-09,2019-09-09,No Conciliada,,,,
90,Tucumán,Capital,Civil y Com 8,4121/16,DAÑOS Y PERJUICIOS,2019-02-13,2019-02-13,2019-08-15,Conciliada,2019-08-15,,,,2019-08-15,HOMOLOGACION DE CONVENIO,
90,Tucumán,Capital,Civil y Com 5,3351/10,PRESCRIPCION ADQUISITIVA,2014-06-03,2014-06-03,2019-05-06,No Conciliada,2019-05-06,2019-07-30,No Conciliada,,,,
90,Tucumán,Capital,Civil y Com 4,1207/18,ESPECIALES (RESIDUAL),2018-08-08,2018-08-08,2019-09-11,No Conciliada,,,No Conciliada,,,,
90,Tucumán,Capital,Civil y Com 6,221/17,DAÑOS Y PERJUICIOS,2017-11-30,2017-11-30,2019-09-11,No Conciliada,2019-08-15,2019-11-12,,,,,
