provincia_id,provincia_nombre,localidad_nombre,juzgado_nombre,juzgado_numero,juzgado_tipo,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalizacion_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°1,1,Circuito,21-12615194-9,COBRO DE PESOS,2018-02-01 00:00:00,2018-02-02 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - CONCILIÓ EN AUDIENCIA,2018-04-11 00:00:00,,,,2018-05-08 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 7ma. Nom.,7,Distrito,21-02852800-8,COBRO DE PESOS,2016-02-11 00:00:00,2016-02-12 00:00:00,2018-08-28 00:00:00,RESULTADO AUD. PROV. PRUEBAS - CONCILIÓ EN AUDIENCIA,2018-06-06 00:00:00,,,,2018-08-28 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 7ma. Nom.,7,Distrito,21-02861284-9,COBRO DE PESOS,2016-06-28 00:00:00,2016-06-29 00:00:00,2018-09-26 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-08-03 00:00:00,2019-02-18 00:00:00,RESULTADO AUD. PROD. PRUEBAS - CONCILIÓ EN AUDIENCIA,,2019-02-18 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°1,1,Circuito,21-12615418-3,DAÑOS Y PERJUICIOS,2018-02-15 00:00:00,2018-02-16 00:00:00,2018-05-22 00:00:00,RESULTADO AUD. PROV. PRUEBAS - CONCILIÓ EN AUDIENCIA,2018-04-25 00:00:00,,,,2018-05-24 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01995561-0,DEMANDA ORDINARIA,2018-04-06 00:00:00,2018-04-09 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01995618-8,JUICIOS ORDINARIOS,2018-04-06 00:00:00,2018-04-09 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01995624-2,DEMANDA ORDINARIA,2018-04-09 00:00:00,2018-04-10 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01984784-2,SENTENCIAS JUICIOS ORDINARIOS,2017-04-04 00:00:00,2019-08-01 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-04-18 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01973485-1,DEMANDA ORDINARIA,2016-05-20 00:00:00,2016-05-20 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01995945-4,JUICIOS ORDINARIOS,2018-04-18 00:00:00,2018-04-19 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01959860-5,USUCAPIÓN,2015-03-11 00:00:00,2015-03-11 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-11-20 00:00:00,2018-12-17 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 1ra. Nom.,1,Distrito,21-01989074-8,DAÑOS Y PERJUICIOS,2017-09-12 00:00:00,2017-09-12 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-04-23 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-00994403-3,JUICIOS ORDINARIOS,2013-04-18 00:00:00,2013-04-18 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 1ra. Nom.,1,Distrito,21-01972098-2,DEMANDA ORDINARIA,2016-04-05 00:00:00,2016-04-05 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-04-24 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01984028-7,JUICIOS ORDINARIOS,2017-03-14 00:00:00,2017-03-14 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01986918-8,DEMANDA ORDINARIA,2017-06-27 00:00:00,2017-06-28 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01991126-5,JUICIOS ORDINARIOS,2017-11-10 00:00:00,2017-11-13 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01996062-2,DEMANDA ORDINARIA,2018-04-20 00:00:00,2018-04-23 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01996099-1,SUMARÍSIMO,2018-04-23 00:00:00,2018-04-24 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-08-02 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01990574-5,DEMANDA ORDINARIA,2017-10-26 00:00:00,2018-07-06 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-04603079-3,COBRO DE PESOS,2014-07-30 00:00:00,2014-07-31 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01963648-5,JUICIOS ORDINARIOS,2015-07-08 00:00:00,2015-07-08 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01987827-6,DEMANDA ORDINARIA,2017-08-04 00:00:00,2017-08-07 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01961133-4,DAÑOS Y PERJUICIOS,2015-04-27 00:00:00,2016-11-01 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-04-27 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 1ra. Nom.,1,Distrito,21-01992829-9,MEDIDA AUTOSATISFACTIVA,2017-12-22 00:00:00,2017-12-22 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01962560-2,JUICIOS ORDINARIOS,2015-06-03 00:00:00,2017-06-09 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01995327-8,DEMANDA ORDINARIA,2018-03-26 00:00:00,2018-03-27 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01965073-9,DAÑOS Y PERJUICIOS,2015-09-02 00:00:00,2015-09-02 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - CONCILIÓ PREVIAMENTE,2018-05-03 00:00:00,,,,2018-06-01 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 1ra. Nom.,1,Distrito,21-01985239-0,DAÑOS Y PERJUICIOS,2017-04-25 00:00:00,2017-04-25 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-03 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01996245-5,DEMANDA ORDINARIA,2018-04-27 00:00:00,2018-05-02 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01962516-5,DEMANDA ORDINARIA,2015-06-02 00:00:00,2015-06-02 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01962775-3,ESCRITURACION,2015-06-10 00:00:00,2015-06-10 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01962757-5,DAÑOS Y PERJUICIOS,2015-06-10 00:00:00,2015-06-11 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-07 00:00:00,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 1ra. Nom.,1,Distrito,21-01967106-9,PRESCRIPCIÓN ADQUISITIVA,2015-11-12 00:00:00,2015-11-12 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-07 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01975201-9,JUICIO EJECUTIVO,2016-08-09 00:00:00,2016-08-09 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01987319-3,ESCRITURACION,2017-07-24 00:00:00,2017-07-24 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01996390-7,DEMANDA ORDINARIA,2018-05-04 00:00:00,2018-05-07 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01070104-7,JUICIOS ORDINARIOS,2013-06-11 00:00:00,2013-07-04 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-09 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01964212-4,DEMANDA ORDINARIA,2015-07-31 00:00:00,2015-07-31 00:00:00,2018-06-18 00:00:00,RESULTADO AUD. PROV. PRUEBAS - CONCILIÓ EN AUDIENCIA,2018-05-09 00:00:00,,,,2018-06-18 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01967273-2,DAÑOS Y PERJUICIOS,2015-11-18 00:00:00,2015-11-18 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-09 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01995817-2,DEMANDA ORDINARIA,2018-04-13 00:00:00,2018-04-16 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01996160-2,APREMIO POR COBRO DE HONORARIOS,2018-04-25 00:00:00,2018-04-26 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01071746-6,JUICIOS EJECUTIVOS,2014-09-09 00:00:00,2014-09-15 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-09-17 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 1ra. Nom.,1,Distrito,21-01996424-5,DEMANDA ORDINARIA,2018-05-07 00:00:00,2018-05-08 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 1ra. Nom.,1,Distrito,21-00023497-1,JUICIOS ORDINARIOS,2011-02-11 00:00:00,2011-02-11 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-11 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,2018-09-14 00:00:00,SENTENCIA Y AUTOS DEFINITIVOS,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01984452-5,JUICIOS ORDINARIOS,2017-03-23 00:00:00,2017-03-23 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01996554-3,JUICIOS ORDINARIOS,2018-05-09 00:00:00,2018-05-10 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01996538-1,DEMANDA ORDINARIA,2018-05-09 00:00:00,2018-05-10 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01970980-6,JUICIOS ORDINARIOS,2016-02-18 00:00:00,2016-02-18 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-01975662-6,SENTENCIAS JUICIOS ORDINARIOS,2016-08-25 00:00:00,2018-10-26 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 1ra. Nom.,1,Distrito,21-10695638-0,FILIACION EXTRAMATRIMONIAL,2017-05-12 00:00:00,2017-05-12 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-17 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01988066-1,SIMULACIÓN,2017-08-11 00:00:00,2017-08-14 00:00:00,2018-03-13 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-12-18 00:00:00,2019-03-13 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01994603-4,DAÑOS Y PERJUICIOS,2018-03-07 00:00:00,2018-03-08 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-00900312-3,OTRAS DILIGENCIAS,2012-04-25 00:00:00,2012-04-25 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-21 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,JUZG. DE 1RA. INSTANCIA DE CIRCUITO N°1,1,Circuito,21-14698760-2,JUICIOS SUMARIOS,2013-05-07 00:00:00,2013-05-08 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,JUZG. DE 1RA. INSTANCIA DE CIRCUITO N°2,2,Circuito,21-15787305-6,JUICIOS SUMARIOS,2018-05-18 00:00:00,2018-05-21 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,JUZG. DE 1RA. INSTANCIA DE CIRCUITO N°1,1,Circuito,21-15787282-3,JUICIO EJECUTIVO,2018-05-15 00:00:00,2018-05-16 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,JUZG. DE 1RA. INSTANCIA DE CIRCUITO N°2,2,Circuito,21-15787307-2,DESALOJO,2018-05-18 00:00:00,2018-05-21 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 3ra. Nom.,3,Distrito,21-00836237-5,JUICIOS ORDINARIOS,2011-02-02 00:00:00,2011-02-02 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-23 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 9na. Nom.,9,Distrito,21-01983888-6,DEMANDA ORDINARIA,2017-03-08 00:00:00,2017-03-08 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-23 00:00:00,,,,,,
82,Santa Fe,SANTA FE,JUZG. DE 1RA. INSTANCIA DE CIRCUITO N°2,2,Circuito,21-15787150-9,COBRO DE PESOS,2018-04-26 00:00:00,2018-05-10 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 10ma. Nom.,10,Distrito,21-01961071-0,JUICIOS ORDINARIOS,2015-04-24 00:00:00,2019-05-03 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-23 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01964117-9,JUICIOS ORDINARIOS,2015-07-30 00:00:00,2015-07-30 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-08-30 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01987250-2,ESCRITURACION,2017-07-06 00:00:00,2017-07-07 00:00:00,2019-02-25 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-12-26 00:00:00,2019-02-25 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO SE CELEBRÓ,,,,
82,Santa Fe,SANTA FE,JUZG. DE 1RA. INSTANCIA DE CIRCUITO N°1,1,Circuito,21-15787316-1,COBRO DE PESOS,2018-05-22 00:00:00,2018-05-23 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 8va. Nom.,8,Distrito,21-00996489-1,DEMANDA ORDINARIA,2015-09-01 00:00:00,2015-09-01 00:00:00,2018-08-09 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-28 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - CONCILIÓ PREVIAMENTE,,2018-12-14 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 2da. Nom.,2,Distrito,21-00028394-8,DEMANDA MERE DECLARATIVA,2014-06-30 00:00:00,2017-12-01 00:00:00,2018-07-04 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-28 00:00:00,,,,,,
82,Santa Fe,SANTA FE,JUZG. DE 1RA. INSTANCIA DE CIRCUITO N°3,3,Circuito,21-15786632-7,COBRO DE PESOS,2018-03-02 00:00:00,2018-03-05 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 11ma. Nom.,11,Distrito,21-01996914-9,DEMANDA ORDINARIA,2018-05-23 00:00:00,2018-05-24 00:00:00,,,,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 9na. Nom.,9,Distrito,21-01025963-8,OTRAS DILIGENCIAS,2014-03-25 00:00:00,2014-03-25 00:00:00,,,2018-05-29 00:00:00,,,,,,
82,Santa Fe,SANTA FE,Juzg. 1ra. Inst. Civil y Comercial 2da. Nom.,2,Distrito,21-01971602-0,SUMARÍSIMO,2016-03-14 00:00:00,2016-03-14 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-05-29 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
