provincia_id,provincia_nombre,localidad_nombre,juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
26,Chubut,Comodoro Rivadavia,2,140/2017,Daños y perjuicios,2017-05-10,2017-05-10,2019-04-09,No Concilió,2019-04-09,2019-07-24,No Concilió,2019-08-07,2019-09-24,Sent Definitiva,
26,Chubut,Comodoro Rivadavia,2,205/2018,Daños y perjuicios,2018-05-04,2018-05-04,2019-05-15,No Concilió,2019-05-15,2019-08-20,no realizada,,,,
26,Chubut,Comodoro Rivadavia,2,276/2018,Incidente,2018-08-06,2018-08-06,2019-05-06,No Concilió,2019-05-06,2019-08-05,No Concilió,2019-08-20,2019-09-20,Sent Definitiva,
26,Chubut,Comodoro Rivadavia,2,287/2017,Daños y perjuicios,2017-08-30,2017-08-30,2019-04-23,No Concilió,2019-04-23,2019-07-30,No Concilió,,,,
26,Chubut,Comodoro Rivadavia,2,300/2018,Daños y perjuicios,2018-08-29,2018-08-30,2019-05-07,No Concilió,2019-05-07,2019-08-07,No Concilió,,,,
26,Chubut,Comodoro Rivadavia,2,325/2017,Daños y perjuicios,2017-09-21,2017-09-21,2019-04-25,No Concilió,2019-04-25,2019-07-31,no realizada,,,,
26,Chubut,Comodoro Rivadavia,2,416/2018,Daños y perjuicios,2018-11-15,2018-11-15,2019-04-10,No Concilió,2019-04-10,2019-08-09,No Concilió,2019-08-13,2019-09-09,Sent Definitiva,
26,Chubut,Comodoro Rivadavia,2,215/2017,Daños y perjuicios,2017-06-21,2017-06-21,2019-06-26,no realizada,,,,,,,
26,Chubut,Comodoro Rivadavia,2,450/2017,Prescripción adquisitiva,2017-11-23,2017-11-23,2019-04-29,No Concilió,2019-04-29,2019-08-01,no realizada,,,,
26,Chubut,Comodoro Rivadavia,2,185/2018,Daños y perjuicios,2018-05-15,2018-05-15,2019-05-09,No Concilió,2019-05-09,2019-08-08,No Concilió,2019-08-08,2019-09-24,Sent Definitiva,
26,Chubut,Comodoro Rivadavia,2,139/2018,Daños y perjuicios,2018-04-18,2018-04-18,2019-05-14,No Concilió,2019-05-14,2019-08-14,no realizada,,,,
26,Chubut,Comodoro Rivadavia,2,554/2016,Daños y perjuicios,2016-12-22,2016-12-22,2019-05-21,No Concilió,2019-05-21,2019-08-21,,,,,
26,Chubut,Comodoro Rivadavia,2,191/2018,Daños y perjuicios,2018-05-17,2018-05-17,2019-06-12,No Concilió,2019-06-12,2019-09-17,no realizada,,,,
26,Chubut,Comodoro Rivadavia,2,553/2016,Daños y perjuicios,2016-12-22,2016-12-22,2019-06-18,No Concilió,2019-06-18,2019-09-06,no realizada,,,,
26,Chubut,Comodoro Rivadavia,2,91/2018,Cumplimiento de contrato - Daños y perjuicios,2018-03-22,2018-03-23,2019-06-18,No Concilió,2019-06-18,2019-10-02,,,2019-09-17,Sent Definitiva,
26,Chubut,Comodoro Rivadavia,1,356/2018,Cumplimiento de contrato,2018-10-11,2018-10-12,2019-05-21,No Concilió,2019-05-27,2019-09-09,no realizada,,,,
26,Chubut,Comodoro Rivadavia,1,122/2016,Cobro de pesos,2016-03-29,2016-04-01,2019-06-10,No Concilió,2019-06-11,2019-09-12,no realizada,,,,
26,Chubut,Comodoro Rivadavia,1,390/2017,Daños y perjuicios,2017-09-21,2017-09-25,2019-06-25,No Concilió,2019-06-25,2019-10-31,,,,,
26,Chubut,Comodoro Rivadavia,1,409/2018,Cumplimiento de contrato,2018-11-20,2018-11-22,2019-06-14,No Concilió,2019-06-14,2019-09-30,No concilió,,,,
26,Chubut,Comodoro Rivadavia,1,70/2018,Daños y perjuicios,2018-03-01,2018-03-02,2019-06-21,No Concilió,2019-06-21,2019-10-08,,,,,
26,Chubut,Comodoro Rivadavia,1,360/2018,Daños y perjuicios,2018-10-22,2018-10-22,2019-07-26,No Concilió,2019-07-26,2019-11-12,,,,,
26,Chubut,Comodoro Rivadavia,1,30/2017,Cobro de pesos,,2014-09-08,2019-07-05,no realizada,2019-07-05,2019-10-15,,,,,
26,Chubut,Esquel,1,11/19,Daños y perjuicios,2019-02-12,2019-02-12,2019-05-21,No Concilió,2019-05-21,2019-09-09,,,,,
26,Chubut,Esquel,1,145/2017,Cumplimiento de contrato - Daños y perjuicios,2017-08-10,2017-08-11,2019-04-24,No Concilió,2019-04-24,2019-07-02,No Concilió,2019-07-02,,,
26,Chubut,Esquel,1,170/2018,Daños y perjuicios,2018-10-19,2018-10-19,2019-05-14,No Concilió,2019-05-14,2019-07-24,No Concilió,,,,
26,Chubut,Esquel,1,177/2018,Daños y perjuicios,2018-10-26,2018-10-26,2019-04-16,No Concilió,2019-04-16,2019-07-03,No Concilió,2019-07-03,,,
26,Chubut,Esquel,1,179/2018,Cobro de pesos,2018-10-31,2018-10-31,2019-05-28,No Concilió,2019-03-29,2019-09-04,,,,,
26,Chubut,Esquel,1,221/2018,Interdicto de recobrar,2018-12-19,2018-12-20,2019-05-07,No Concilió,2019-05-07,2019-06-19,Concilió,,2019-06-19,Conciliación,
26,Chubut,Esquel,1,23/2018,Daños y perjuicios,2018-03-26,2018-03-26,2019-05-08,No Concilió,2019-05-08,2019-08-21,No Concilió,,,,
26,Chubut,Esquel,1,35/2018,Daños y perjuicios,2018-04-20,2018-04-21,2019-05-21,No Concilió,2019-05-21,2019-08-28,No Concilió,,,,
26,Chubut,Esquel,1,52/2018,Daños y perjuicios,2018-05-15,2018-05-15,2019-05-28,No Concilió,2019-05-28,2019-09-18,,,,,
26,Chubut,Esquel,1,81/2018,Cobro de pesos,2018-06-13,2018-06-13,2019-05-14,No Concilió,2019-02-13,2019-08-07,No Concilió,,,,
26,Chubut,Esquel,1,104/2018,Cumplimiento de contrato - Daños y perjuicios,2018-07-04,2018-07-04,2019-06-04,No Concilió,2019-03-29,2019-09-11,,,,,
26,Chubut,Esquel,1,149/2018,Resolución de contrato,2018-09-14,2018-09-14,2019-06-11,No Concilió,2019-06-11,2019-08-14,No Concilió,,,,
26,Chubut,Esquel,1,190/2018,Daños y perjuicios,2018-11-13,2018-11-13,2019-06-25,No Concilió,2019-06-25,2019-10-09,,,,,
26,Chubut,Esquel,1,227/2015,Daños y perjuicios,2015-10-19,2015-10-19,2019-06-24,No Concilió,2019-06-24,2019-10-02,,,,,
26,Chubut,Esquel,1,30/2019,Daños y perjuicios,2019-03-01,2019-03-01,2019-06-04,No Concilió,2019-06-04,2019-09-25,,,,,
26,Chubut,Esquel,1,249/2017,Contencioso Administrativo,2017-12-26,2017-12-26,2019-04-16,No Concilió,2019-04-16,2019-06-26,No Concilió,,,,
26,Chubut,Puerto Madryn,1,155/2017,Daños y perjuicios,2017-10-02,2017-10-02,2019-05-15,No Concilió,2019-05-17,2019-08-12,No Concilió,,,,
26,Chubut,Puerto Madryn,1,171/2018,Cumplimiento de contrato,2018-11-15,2018-11-15,2019-05-13,No Concilió,,,,,,,
26,Chubut,Puerto Madryn,1,184/2017,Daños y perjuicios,2017-11-10,2017-11-10,2019-05-28,No Concilió,2019-05-31,2019-08-26,No Concilió,,,,
26,Chubut,Puerto Madryn,1,199/2018,Daños y perjuicios,2018-12-12,2018-12-12,2019-05-07,No Concilió,2019-05-09,2019-08-07,No Concilió,,,,
26,Chubut,Puerto Madryn,1,2/2019,Daños y perjuicios,2019-02-01,2019-02-01,2019-04-16,No Concilió,2019-04-22,,,,,,
26,Chubut,Puerto Madryn,1,44/2019,Daños y perjuicios,2019-03-28,2019-03-28,2019-05-17,No Concilió,2019-05-27,2019-08-14,No Concilió,,2019-08-28,Conciliación,
26,Chubut,Puerto Madryn,1,79/2018,Daños y perjuicios,2018-07-03,2018-07-03,2019-04-05,No Concilió,2019-04-15,,,,,,
26,Chubut,Puerto Madryn,1,72/2019,Daños y perjuicios,2019-04-22,2019-04-23,2019-06-25,No Concilió,2019-05-27,2019-09-25,,,,,
26,Chubut,Puerto Madryn,1,58/2019,Daños y perjuicios,2019-04-10,2019-04-10,2019-07-04,No Concilió,2019-07-23,2019-10-07,,,,,
26,Chubut,Trelew,2,144/2018,Daños y perjuicios,2018-11-02,2018-11-02,2019-05-06,Concilió,,,,,2019-05-06,Conciliación,
26,Chubut,Trelew,2,153/2016,Daños y perjuicios,2016-09-30,2016-09-30,2019-04-24,No Concilió,2019-04-24,2019-09-03,No Concilió,,,,
26,Chubut,Trelew,2,194/2018,Daños y perjuicios,2018-12-14,2018-12-14,2019-03-28,No Concilió,2019-03-28,2019-08-14,No Concilió,,,,
26,Chubut,Trelew,2,19/2019,Interdicto de recobrar,2019-02-20,2019-02-20,2019-05-21,Concilió,,,,,2019-05-21,Conciliación,
26,Chubut,Trelew,2,158/2018,Daños y perjuicios,2018-11-12,2018-11-12,2019-06-04,Concilió,,,,,2019-06-04,Conciliación,
26,Chubut,Trelew,2,121/2018,Cobro de pesos,2018-09-07,2018-09-07,2019-06-13,No Concilió,2019-06-13,2019-09-10,No Concilió,,,,
26,Chubut,Trelew,2,77/2018,Daños y perjuicios,2018-06-14,2018-06-14,2019-07-04,No Concilió,2019-07-04,2019-10-29,,,,,
26,Chubut,Trelew,2,123/2018,Daños y perjuicios,2018-09-13,2018-09-13,2019-07-02,No Concilió,2019-04-29,2019-10-17,,,,,
26,Chubut,Puerto Madryn,1,43/2019,Escrituración,2019-03-27,2019-03-27,2019-07-04,no realizada,,,,,,,
26,Chubut,Trelew,1,189/2018,Cobro de pesos,2018-12-10,2018-12-10,2019-07-01,No Concilió,2019-04-17,,,,2019-07-22,Transacción,
26,Chubut,Trelew,1,195/2018,Daños y perjuicios,2018-12-17,2018-12-17,2019-07-24,No Concilió,2019-06-10,2019-09-19,No Concilió,,,,
26,Chubut,Trelew,1,160/2018,Acción reivindicatoria,2018-11-22,2018-11-22,2019-07-25,No Concilió,2019-07-25,2019-08-20,No Concilió,,,,
26,Chubut,Trelew,1,134/2018,Daños y perjuicios,2018-11-02,2018-11-02,2019-07-26,No Concilió,2019-07-26,2019-10-07,,,,,
26,Chubut,Lago Puelo,1,433/2018,Daños y perjuicios,2018-09-14,2018-09-14,2019-05-13,No Concilió,2019-05-13,2019-07-31,no realizada,,,,
26,Chubut,Lago Puelo,1,561/2017,Interdicto de recobrar,2017-11-10,2017-11-10,2019-05-28,No Concilió,2019-05-28,2019-08-02,no realizada,,,,
26,Chubut,Lago Puelo,1,448/2018,Daños y perjuicios,2018-09-21,2018-09-21,2019-06-05,No Concilió,2019-06-05,2019-08-23,No Concilió,2019-08-23,,,
26,Chubut,Lago Puelo,1,97/2018,Liquidación de sociedad civil o comercial,2018-03-01,2018-03-01,2019-06-12,No Concilió,2019-03-26,2019-08-30,no realizada,,,,
26,Chubut,Lago Puelo,1,464/2018,Daños y perjuicios,2018-10-02,2018-10-02,2019-06-21,No Concilió,2019-06-21,2019-09-19,,,,,
26,Chubut,Esquel,1,216/2017,Daños y perjuicios,2017-11-10,2017-11-10,2019-08-20,No Concilió,2019-08-20,2019-11-27,,,,,
26,Chubut,Esquel,1,202/2018,Interdicto de recobrar,2018-11-27,2018-11-27,2019-08-27,No Concilió,2019-08-27,2019-11-05,,,,,
26,Chubut,Esquel,1,79/2018,Daños y perjuicios,2018-06-13,2018-06-13,2019-08-06,No Concilió,2019-08-06,2019-11-06,,,,,
26,Chubut,Esquel,1,133/2018,Daños y perjuicios,2018-08-23,2018-08-23,2019-08-13,No Concilió,2019-08-13,2019-11-13,,,,,
26,Chubut,Trelew,1,176/2018,Cobro de Pesos,2018-11-27,2018-11-27,2019-08-15,No Concilió,2019-08-15,2019-10-22,,,,,
26,Chubut,Lago Puelo,1,317/2018,Cumplimiento de contrato - Daños y perjuicios,2018-07-23,2018-07-23,2019-08-16,No Concilió,2019-08-16,2019-11-12,,,,,
26,Chubut,Lago Puelo,1,64/2018,Daños y perjuicios,2018-02-20,2018-02-20,2019-08-15,No Concilió,2019-08-15,2019-11-04,,,,,
26,Chubut,Lago Puelo,1,415/2018,Cobro de pesos,2018-09-07,2018-09-07,2019-08-21,No Concilió,2019-03-11,2019-11-19,,,,,
26,Chubut,Trelew,1,112/2018,Cumplimiento de contrato,2018-09-12,2018-09-12,2019-08-21,No Concilió,2019-08-21,2019-10-08,,,,,
26,Chubut,Trelew,1,120/2018,Acción posesoria,2018-09-25,2018-09-25,2019-08-22,No Concilió,2019-08-22,2019-10-08,,,,,
26,Chubut,Trelew,1,25/2019,,2019-03-15,2019-03-15,2019-08-22,No Concilió,2019-08-22,2019-10-08,,,,,
26,Chubut,Trelew,1,123/2018,Daños y perjuicios,2018-10-02,2018-10-02,2019-08-22,No Concilió,2019-08-22,2019-10-08,,,,,
26,Chubut,Comodoro Rivadavia,2,22/19,Daños y perjuicios,2019-02-21,2019-02-21,2019-08-22,no realizada,,,,,,,
