provincia_id,provincia_nombre,localidad_nombre,juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion
30,Entre Ríos,Chajarí,1,12952/16,ORDINARIO ACCION REIVINDICATORIA,2016-04-28,2016-04-28,2018-07-05,no concilio,,,,,,
30,Entre Ríos,Chajarí,1,12999/16,ORDINARIO DAÑ‘OS Y PERJUICIOS,2016-07-01,2016-07-01,,,,,,,,
30,Entre Ríos,Chajarí,1,13157/17,ORDINARIO DAÑ‘OS Y PERJUICIOS,2017-02-13,2017-02-13,2018-07-26,no concilio,,,,2018-08-29,2018-09-05,Transacción
30,Entre Ríos,Chajarí,1,13169/17,ORDINARIO DAÑ‘OS Y PERJUICIOS,2017-02-24,2017-02-24,2018-07-31,no concilio,,,,2018-08-24,2018-08-27,Sent.Definitiva
30,Entre Ríos,Chajarí,1,13239/17,SUMARISIMO,2017-06-14,2017-06-14,2018-08-21,no concilio,2018-08-21,2018-10-23,no concilio,2018-10-23,2018-10-26,Sent.Definitiva
30,Entre Ríos,Chajarí,1,13339/17,ORDINARIO DAÑ‘OS Y PERJUICIOS,2017-11-29,2017-11-29,2018-08-14,no concilio,2018-08-14,2018-11-13,no concilio,2018-11-13,2018-11-28,Sent.Definitiva
30,Entre Ríos,Chajarí,1,13353/17,ORDINARIO DAÑ‘OS Y PERJUICIOS,2017-12-11,2017-12-11,2018-08-02,concilio,,,,2018-08-02,2018-08-03,Conciliación
30,Entre Ríos,Chajarí,1,13245/17,ORDINARIO DAÑ‘OS Y PERJUICIOS,2017-06-23,2017-06-23,2018-08-28,no concilio,2018-08-28,2018-11-27,no concilio,2018-11-27,2018-12-05,Sent.Definitiva
30,Entre Ríos,Chajarí,1,13406/18,ORDINARIO DAÑOS Y PERJUICIOS,2018-03-27,2018-03-27,2018-11-08,no concilio,2018-11-08,2019-02-19,,2018-12-12,2018-12-13,Transacción
30,Entre Ríos,Chajarí,1,13492/18,SUMARISIMO,2018-08-14,2018-08-14,2018-11-29,no concilio,2018-11-29,2019-03-12,,2018-12-20,2018-12-26,Sent.Definitiva
30,Entre Ríos,Chajarí,1,13368/17,ORDINARIO DAÑ‘OS Y PERJUICIOS,2017-12-29,2017-12-29,2018-09-06,no concilio,2018-09-06,2018-12-04,no concilio,2018-12-04,2018-12-07,Sent.Definitiva
30,Entre Ríos,Chajarí,1,13418/18,ORDINARIO DAÑ‘OS Y PERJUICIOS,2018-04-17,2018-04-17,2018-09-20,no concilio,2018-09-20,2018-12-18,no concilio,2018-12-18,2018-12-20,Sent.Definitiva
30,Entre Ríos,Chajarí,1,13295/17,ORDINARIO DAÑ‘OS Y PERJUICIOS,2017-10-09,2017-10-09,2018-09-27,no concilio,2018-09-27,2018-12-21,no concilio,2018-10-31,2018-11-05,Sent.Definitiva
30,Entre Ríos,Chajarí,1,13299/17,ORDINARIO ACCION REIVINDICATORIA,2017-10-02,2017-10-02,2019-05-23,no concilio,2019-05-23,2019-08-13,,,,
30,Entre Ríos,Chajarí,1,13565/18,ORDINARIO DAÑOS Y PERJUICIOS,2018-11-05,2018-11-05,2019-06-06,no concilio,2019-06-06,2019-09-10,,,,
30,Entre Ríos,Chajarí,1,13323/17,ORDINARIO DAÑOS Y PERJUICIOS,2017-11-02,2017-11-02,2019-06-13,no concilio,2019-06-13,2019-09-24,,,,
30,Entre Ríos,Chajarí,1,13662/19,ORDINARIO DAÑOS Y PERJUICIOS,2019-02-11,2019-02-11,2019-07-03,concilio,,,,,2019-07-03,Conciliación
30,Entre Ríos,Chajarí,1,13712/19,ORDINARIO FILIACION,2019-04-17,2019-04-17,2019-07-24,no concilio,2019-07-24,2019-10-11,,,,
30,Entre Ríos,Chajarí,1,13653/19,ORDINARIO DAÑOS Y PERJUICIOS,2019-02-06,2019-02-06,2019-07-25,no concilio,2019-07-25,2019-10-22,,,,
30,Entre Ríos,Chajarí,1,13692/19,ORDINARIO COBRO DE PESOS,2019-03-29,2019-03-29,2019-07-30,no concilio,2019-07-30,2019-10-29,,,,
30,Entre Ríos,Chajarí,1,13660/19,SUMARISIMO,2019-02-11,2019-02-11,2019-07-31,no concilio,2019-07-31,2019-10-29,,,,
30,Entre Ríos,Chajarí,1,13556/18,ORDINARIO,2018-10-26,2018-10-26,2019-08-08,no concilio,2019-08-08,2019-11-05,,,,
30,Entre Ríos,Chajarí,1,13649/19,SUMARISIMO (CIVIL),2019-02-01,2019-02-01,2019-08-14,no_realizada,,,,,,
30,Entre Ríos,Chajarí,1,13696/19,ORDINARIO ACCION REIVINDICATORIA,2019-04-01,2019-04-01,2019-09-05,no concilio,2019-09-20,2020-02-11,,,,
30,Entre Ríos,Chajarí,1,13649/19,SUMARISIMO (CIVIL),2019-02-01,2019-02-01,2019-09-11,no concilio,2019-09-11,2019-11-26,,,,
30,Entre Ríos,Chajarí,1,13421/18,ORDINARIO DAÑOS Y PERJUICIOS,2018-04-18,2018-04-18,2019-09-12,no concilio,2019-09-12,2019-03-03,,,,
30,Entre Ríos,Chajarí,1,13461/18,ORDINARIO DAÑOS Y PERJUICIOS,2018-06-28,2018-06-28,2019-09-26,no concilio,2019-09-26,2019-12-10,,,,
30,Entre Ríos,Chajarí,1,13128/16,ORDINARIO DAÑ‘OS Y PERJUICIOS,2016-12-27,2016-12-27,,,,,,2019-03-07,2019-04-04,Sent.Definitiva
30,Entre Ríos,Chajarí,1,13558/18,ORDINARIO DAÑOS Y PERJUICIOS,2018-10-26,2018-10-26,2019-04-30,concilio,,,,2019-04-30,2019-04-30,Conciliación
30,Entre Ríos,Chajarí,1,13113/16,ORDINARIO DAÑOS Y PERJUICIOS,2016-12-05,2016-12-05,2018-12-11,no concilio,2018-12-11,2019-04-09,no concilio,2019-05-16,2019-06-26,Sent.Definitiva
30,Entre Ríos,Chajarí,1,13153/17,ORDINARIO DAÑOS Y PERJUICIOS,2017-02-08,2017-02-08,2018-12-20,no concilio,2018-12-20,2019-04-16,no concilio,2019-06-18,2019-07-05,Sent.Definitiva
30,Entre Ríos,Chajarí,1,13267/17,ORDINARIO DAÑOS Y PERJUICIOS,2017-08-17,2017-08-17,2018-11-20,no concilio,2018-11-20,2019-03-19,no concilio,2019-04-24,2019-05-15,Sent.Definitiva
