juzgado,jurisdiccion,fuero,anio,pendientes_inicio,pendientes_cierre,agregadas,dictadas_def,dictadas_inter,ingresos,resueltos,clearance_rate,disposition_time,total_causas_oral,mora_2anios,pct_mora,objeto_principal,costo_anual_estimado,costo_por_causa,vs_wjp_civil,gap_wjp_civil,vs_cepej_cr,vs_cepej_dt,magistrado,fecha_jura,antiguedad_anos,en_licencia,vacante,concurso_activo,concurso_numero,sin_datos_estadisticos,ira_score,ira_semaforo
Buenos Aires | Juzgado 1,,Civil,,0,3520,0,1273,0,0,1273,26.6,661.0,4793,0,0.0,DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO),500000000,104319.0,0.266,-0.154,BAJO,ALTO,"MAYORGA, Silvina",2018-06-22,7.0,False,False,False,,False,58.7,🟡
Buenos Aires | Juzgado 10,,Civil,,0,1073,0,559,0,0,559,34.3,863.0,1632,0,0.0,DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO),500000000,306373.0,0.343,-0.077,BAJO,ALTO,"NOCETI ACHÁVAL, Alejandro",2017-09-11,8.0,False,False,False,,False,60.0,🔴
Buenos Aires | Juzgado 11,,Civil,,0,1873,0,670,0,0,670,26.3,911.0,2543,0,0.0,DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO),500000000,196618.0,0.263,-0.157,BAJO,ALTO,"SAÑUDO, Alfredo Alejandro",,,False,True,False,,False,70.0,🔴
Buenos Aires | Juzgado 12,,Civil,,0,1544,0,693,0,0,693,31.0,795.0,2237,0,0.0,DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO),500000000,223514.0,0.31,-0.11,BAJO,ALTO,"MÁRQUEZ, Luis Oscar",,,False,False,False,,False,60.0,🔴
Buenos Aires | Juzgado 13,,Civil,,0,119,0,94,0,0,94,44.1,672.0,213,0,0.0,DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO),500000000,2347418.0,0.441,0.021,BAJO,ALTO,"LEIF GUARDIA, Diego",,,False,False,False,,False,59.2,🟡
Buenos Aires | Juzgado 14,,Civil,,0,536,0,198,0,0,198,27.0,721.0,734,0,0.0,DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO),500000000,681199.0,0.27,-0.15,BAJO,ALTO,,,,False,True,False,,False,70.0,🔴
Buenos Aires | Juzgado 15,,Civil,,0,771,0,391,0,0,391,33.6,456.0,1162,0,0.0,DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO),500000000,430293.0,0.336,-0.084,BAJO,ALTO,"MARTÍN, Adrián Norberto",,,False,False,False,,False,49.8,🟡
Buenos Aires | Juzgado 16,,Civil,,0,842,0,389,0,0,389,31.6,393.0,1231,0,0.0,DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO),500000000,406174.0,0.316,-0.104,BAJO,ALTO,"BARRIONUEVO, Liliana Noemí",,,False,True,False,,False,57.1,🟡
Buenos Aires | Juzgado 17,,Civil,,0,245,0,169,0,0,169,40.8,1256.0,414,0,0.0,DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO),500000000,1207729.0,0.408,-0.012,BAJO,ALTO,"GIUDICE BRAVO, Juan Facundo",,,False,False,False,,False,60.0,🔴
Buenos Aires | Juzgado 18,,Civil,,0,269,0,138,0,0,138,33.9,871.0,407,0,0.0,DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO),500000000,1228501.0,0.339,-0.081,BAJO,ALTO,"MEDINA, Darío Martín",,,False,True,False,,False,70.0,🔴
Buenos Aires | Juzgado 19,,Civil,,0,113,0,248,0,0,248,68.7,953.0,361,0,0.0,DAÑOS Y PERJ.AUTOM. C/LES. O MUERTE (EXC.ESTADO),500000000,1385042.0,0.687,0.267,BAJO,ALTO,"NARDIELLO, Angel Gabriel",,,False,True,False,,False,60.6,🔴
